区分,店舗名,認証のメニュー名,認証メニュー数,店舗数,認証のメニューのPRポイント,住所,電話番号,営業時間,休業日,備考,緯度,経度
飲食店,（株）ヤスサキ,ソースカツ弁当,1,10,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市新保北1丁目303番地,0776-52-8111,,,,36.086232,136.249327
飲食店,グルメ館新保店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市新保北1丁目303番地,0776-52-6711,24時間営業,年中無休,,36.086238,136.249292
飲食店,グルメ館松本店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市松本3丁目16-57,0776-28-2001,9:00～22:00,年中無休,,36.073316,136.224921
飲食店,グルメ館パリオ店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市松城町12-7,0776-35-0670,9:30～22:00,年中無休,,36.062168,136.240826
飲食店,グルメ館福井南店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市羽水2丁目802番地,0778-54-8280,24時間営業,年中無休,,36.040462,136.23102
飲食店,グルメ館江守店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,福井市舞屋町7-109,0778-24-2821,24時間営業,年中無休,,36.034298,136.202035
飲食店,グルメ館鯖江店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,鯖江市有定町3丁目1番1号,0776-25-8420,9:30～22:00,年中無休,,35.948435,136.178492
飲食店,グルメ館東鯖江店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,鯖江市新横江1丁目1-27,0778-52-6211,24時間営業,年中無休,,,
飲食店,グルメ館武生南店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,越前市妙法寺町,0778-21-2671,24時間営業,年中無休,,35.885823,136.160367
飲食店,グルメ館武生店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,越前市横市町28-14-1,0778-21-2671,9:30～22:00,年中無休,,35.907124,136.19293
飲食店,グルメ館敦賀店,ソースカツ弁当,,,福井のソウルフード「ソースカツ丼」をイメージしたお弁当です。ボリュームもありますので男性の方にもお勧めです。,敦賀市櫛林8-4-1,0770-20-1611,7:00～22:00,年中無休,,35.626002,136.048075
飲食店,福井県民生活協同組合,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,3,9,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,福井市開発5丁目1603番地,0776-52-0082,,,,36.087868,136.243825
飲食店,ハーツ羽水店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,福井市木田3丁目2802番地,0776-22-0082,9:30～21:30,1月1日のみ,,36.042456,136.226503
飲食店,ハーツ学園店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,福井市学園2丁目9番22号,0776-52-2282,9:30～22:00,1月1日のみ,,36.069755,136.197691
飲食店,ハーツ志比口店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,福井市志比口2丁目11番13号,0776-51-5482,9:30～22:00,1月1日のみ,,36.07122,136.237023
飲食店,ハーツはるえ店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,坂井市春江町随応寺25字1番,0776-34-8822,9:30～21:30,1月1日のみ,,36.134568,136.223132
飲食店,ハーツさばえ店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,鯖江市小黒町2丁目901番地,0778-53-1182,9:30～22:00,1月1日のみ,,35.951381,136.175053
飲食店,ハーツたけふ店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,越前市芝原4丁目6番21号,0778-21-3982,9:30～22:00,1月1日のみ,,35.919557,136.157856
飲食店,ハーツつるが店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,敦賀市若葉町1丁目1610,0770-20-0082,9:00～22:00,1月1日のみ,,35.634376,136.048314
飲食店,ハーツ三方五湖店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,三方上中郡若狭町鳥浜49-68,0770-45-3820,9:30～19:30,1月1日のみ,,35.551632,135.906746
飲食店,ハーツわかさ店,1福井健幸美食幕の内弁当、2福井健幸美食ふっくら旨味干し焼鮭弁当、3福井健幸美食　たっぷり」野菜のソースカツ丼弁当,,,1少しずつ、いろいろなものを食べたい女性にも満足していただけるお弁当です。2ハーツ手作りの「ふっくら旨味干サーモン」や「かぼちゃの煮物」「厚揚げ煮」を味わえるお弁当です。3「ソースカツ丼」と一緒に、野菜をたっぷり食べることができる野菜が主役のお弁当です。,小浜市遠敷9丁目501番地,0770-56-0382,9:00～22:00,1月1日のみ,,35.484137,135.773806
飲食店,公共の宿すかっとランド九頭竜,きのこ満載！福井ポークの和風丼,1,1,九頭竜舞茸、美山ひらたけなど、福井の美味しい食材をぎゅっと詰め込みました！やわらかい福井ポークが味の決め手です。,福井市天菅正町3字10,0776-59-1188,11:00～20:30,年中無休,,36.124997,136.1688
飲食店,レストラン若紫（しきぶ温泉湯楽里内）,ヘルシー若紫弁当,1,1,地元の食材を使用して、刺身・焼八寸を取り入れました。温泉とともに身も心も温まる、ヘルシーな弁当です。,越前市白崎町68-8,0778-25-7800,11:00～13:30（LO）、17:30～20:00（LO）,毎月第2水曜日,,35.863406,136.14457
飲食店,余熱館ささおか,野菜たっぷり焼きチキン定食,1,1,ジューシー焼きチキンをシャキシャキ野菜とご一緒に。ご飯はコシヒカリ１００％、味噌汁は九頭竜舞茸入り。,あわら市笹岡32-88-2,0776-74-2221,11:00～22:30,毎月第3月曜日※祝日の場合は翌日に振替,,,
飲食店,三国温泉ゆあぽーと,,,1,,坂井市三国町宿2丁目18-1,0776-82-7070,11:00～22:00　,毎月第3水曜日※祝日の場合は翌日に振替,,,
