店舗名,郵便番号,住所,電話番号,定休日,営業時間,営業時間の備考,おすすめ1,おすすめ1（価格）,おすすめ2,おすすめ2（価格）,おすすめ3,おすすめ3（価格）,店主のひとこと,緯度,経度
けやき庵,910-3111,福井県福井市島山梨子町20－10,0776-59-2525,月曜日（祝日営業）,11：30～15：00,,おろしそば,600,とろろそば,650,ざるそば,650,ミネラル含有の白山系伏流水。50m地下水を使用。福井県産そば粉10割で打ちたて、茹でたてを基本としたおいしいそばを提供。,36.1326486,136.1604312
朝倉の里　利休庵,910-2157,福井県福井市西新町7－1,0776-43-2110,冬期：水曜日(予約受付)夏期：無休,10：30～日没,,利休三昧（そば４品とそば団子）,1080,一乗（もりそばとおろしそばのセット）,1080,天ザルそば,1404,一乗谷の水で蕎麦を打ち、茹で、洗いと三工程共地下水使用。そば粉は県産そば。とことん食材は地産地消にこだわる店です。,35.9922253,136.2880597
みやま長寿そば道場　ごっつおさん亭,910-2211,福井県福井市獺ヶ口町24－7,0776-90-1144,水曜日（１月～２月）,9：00～17：00,,おろしそば,550+税,えび天おろしそば,850+税,ざるそば,800+税,地元で採れた、そば粉を使用するため、おいしいです。,36.0084043,136.3522548
ちょっといっぷく茶屋,910-2341,福井県福井市東川上町12字7－1,0776-90-3738,木曜日,11：00～15：00（予約は別です）,,手打ちセット（おろしそば＆ざる）,1080,おたのしみ弁当,1080,おろしそば＆しめじ丼セット,800,手作りをモットーに、地元の食材を使った福井市美山地区ならではのメニューを提供します。春には山菜、鮎のシーズンは地元の鮎塩焼、秋は自作田のコシヒカリ。一度お立ち寄り下さい。,35.9936456,136.4455459
そば処　まる八,910-0854,"福井県福井市御幸1-1-9
",0776-26-8108,木曜日,"11：00～15：00
17：00～21：30（LO21：00）（平日）　
11：00～21：30（LO21：00）（土日）",,特製おろしそば,740,,,,,食材は厳しく吟味し、だしにも化学調味料は一切使用しておりません。当店自慢の味です。,36.0597013,136.22991
手打ちそば　やっこ,910-0853,福井県福井市城東1丁目4－18,0776-22-3472,水曜日,11：00～20：30,,かき揚げ天おろしそば,980,鶏の香味そば,980,梅しそおろしそば,960,細麺、太麺を選べます。味、食感、お好みでどうぞお召し上がりください。,36.0606651,136.2311793
福井市観光物産館　福福館　福福茶屋,910-0006,福井市中央1丁目2番1号,0776-20-2929,無休,10:00～22:00,,おろしそばと ﾐﾆﾐﾆソースカツ丼,780+税,ソースカツ丼とちょいそば,980+税,越前おろしそば,560+税,福井県大野市・勝山市産そば粉を使用、昔ながらの越前そばらしい色が黒く香りの良い二八そばです。,,
笏谷そば　西武福井店,910-0006,福井県福井市中央1－8－1,0776-27-2877,不定休（西武福井店に準ずる）,10：30～19：30,,おろしそばセット,1047,いなりおろしそば,1620,たきこみセット,1188,季節の素材を時節にあわせて使用し、おいしいおそばを御提供させていただきます。,36.0617645,136.2190662
越前そば　見吉屋本店,910-0023,福井県福井市順化1丁目11－3,"0776-23-3448
0776-22-1808(通販用)",日曜日・年始,11：00～21：00（LO20：30）,,越前おろしそば,540,元祖おろしもちそば,910,玉子かつ丼,1020,創業80余年、福井県産石臼挽き越前そばで地元の人にも大人気の名店。最高峰の味覚と香りをお楽しみくださいませ。大型店、駐車場完備、お子様連れ歓迎。,36.0637198,136.2171024
笏谷そば,918-8007,福井県福井市足羽4－5－10,0776-36-0476,火曜日,11：00～20：00,,いなりおろしそば,1728,割子そば,2916,えび天おろしそば,1620,季節の素材を時節にあわせて使用し、おいしいおそばを御提供させていただきます。,36.0566706,136.2010905
手打めん　高山,918-8026,福井県福井市渕町27－408,0776-35-3708,水曜日(祝日営業),"11:00～14：30（平日）
11：00～19：00（土日祝日）",,おろしそば,550,もりそば,650,わさびそば,650,厳選されたそば粉で打ったそばを、別盛りの辛味大根でお客様のお好みの辛さでお召し上がり下さい。,36.0411114,136.1948357
美・味・麺・庵　たからや,910-0067,福井県福井市新田塚1－25－1,0776-26-1175,水曜日（祝日の場合は翌日休）,11：00～21：00（月～金は15：00～17：00休）,,桜えびのかきあげとざるそば,"1,200+税",,,,,原材料には妥協せず、最高のものを使用し、皆様に愛される店を目指しています。,36.0893221,136.2086399
手打蕎麦　とらい,910-0017,福井県福井市文京7丁目2－5,0776-30-0177,火曜日、第1月曜日,"11：00～14：30
17：30～20：00",,天おろし,1200,,,,,カツオと昆布に３種類の醤油を使い、スキッとした味に。大根も絶妙な味のバランスを考えて素材を選んでいます。,36.0746044,136.1965548
あぜ川,910-1228 ,福井県吉田郡永平寺町志比24－41,0776-63-3450,水曜日,9：00～17：00,,二色膳,1350,天おろしそば,1040,とろろそば,880,八十年受け継がれている秘伝の出汁と、大野産の早狩りそば粉で打った平打ち麺を是非御賞味下さいませ。,36.0557621,136.3537757
