カウンターID,最終情報更新日,廃止フラグ,承認年月日,廃止年月日,事業者名（日本語）,事業者名（英語）,事業者住所_郵便番号,事業者住所_都道府県コード,事業者住所_市町村コード,事業者住所_大字丁目・番地等（日本語）,事業者住所_大字丁目・番地等（英語）,カウンター名称（日本語）,カウンター名称（英語）,カウンター住所_郵便番号,カウンター住所_都道府県コード,カウンター住所_市町村コード,カウンター住所_大字丁目・番地等（日本語）,カウンター住所_大字丁目・番地等（英語）,カウンター住所_建物階層,カウンター住所_緯度,カウンター住所_経度,カウンター住所_施設類型,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（日本語）,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（英語）,カウンター電話番号,外部リンクＵＲＬ,営業時間_月曜日_開始時間,営業時間_月曜日_終了時間,営業時間_月曜日_定休日フラグ,営業時間_火曜日_開始時間,営業時間_火曜日_終了時間,営業時間_火曜日_定休日フラグ,営業時間_水曜日_開始時間,営業時間_水曜日_終了時間,営業時間_水曜日_定休日フラグ,営業時間_木曜日_開始時間,営業時間_木曜日_終了時間,営業時間_木曜日_定休日フラグ,営業時間_金曜日_開始時間,営業時間_金曜日_終了時間,営業時間_金曜日_定休日フラグ,営業時間_土曜日_開始時間,営業時間_土曜日_終了時間,営業時間_土曜日_定休日フラグ,営業時間_日曜日_開始時間,営業時間_日曜日_終了時間,営業時間_日曜日_定休日フラグ,営業時間_その他（日本語）,営業時間_その他（英語）,対応可能言語_英語フラグ,対応可能言語_中国語（簡体字）フラグ,対応可能言語_中国語（繁体字）フラグ,対応可能言語_韓国語フラグ,対応可能言語_タイ語フラグ,対応可能言語_その他（日本語）,対応可能言語_その他（英語）,免税店プラグ,JNTO観光案内所フラグ,一時預かりフラグ,一時預かり_料金_固定,一時預かり_料金_変動上限値,一時預かり_料金_変動下限値,一時預かり_取扱可能品目_スーツケースフラグ,一時預かり_取扱可能品目_クール品フラグ,一時預かり_取扱可能品目_土産品フラグ,一時預かり_取扱可能品目_3辺長合計上限値,一時預かり_取扱可能品目_最大重量上限値,一時預かり_取扱可能品目_取扱金額上限値,一時預かり_取扱可能品目_その他（日本語）,一時預かり_取扱可能品目_その他（英語）,一時預かり_補償内容_取扱金額上限値,一時預かり_補償内容_その他（日本語）,一時預かり_補償内容_その他（英語）,配送_当日配送フラグ,配送_当日配送_料金_固定,配送_当日配送_料金_変動上限値,配送_当日配送_料金_変動下限値,配送_当日配送_取扱可能品目_スーツケースフラグ,配送_当日配送_取扱可能品目_クール品フラグ,配送_当日配送_取扱可能品目_土産品フラグ,配送_当日配送_取扱可能品目_3辺長合計上限値,配送_当日配送_取扱可能品目_最大重量上限値,配送_当日配送_取扱可能品目_取扱金額上限値,配送_当日配送_取扱可能品目_その他（日本語）,配送_当日配送_取扱可能品目_その他（英語）,配送_当日配送_補償内容_取扱金額上限値,配送_当日配送_補償内容_その他（日本語）,配送_当日配送_補償内容_その他（英語）,配送_当日配送_受付時間〆切,配送_当日配送_最終配送時間,配送_当日配送_配送先（日本語）,配送_当日配送_配送先（英語）,配送_一般配送フラグ,配送_一般配送_料金_固定,配送_一般配送_料金_変動上限値,配送_一般配送_料金_変動下限値,配送_一般配送_取扱可能品目_スーツケースフラグ,配送_一般配送_取扱可能品目_クール品フラグ,配送_一般配送_取扱可能品目_土産品フラグ,配送_一般配送_取扱可能品目_3辺長合計上限値,配送_一般配送_取扱可能品目_最大重量上限値,配送_一般配送_取扱可能品目_取扱金額上限値,配送_一般配送_取扱可能品目_その他（日本語）,配送_一般配送_取扱可能品目_その他（英語）,配送_一般配送_補償内容_取扱金額上限値,配送_一般配送_補償内容_その他（日本語）,配送_一般配送_補償内容_その他（英語）,配送_一般配送_配送先_全国各地発送フラグ,配送_一般配送_配送先_その他（日本語）,配送_一般配送_配送先_その他（英語）,配送_海外配送フラグ,配送_海外配送_料金_固定,配送_海外配送_料金_変動上限値,配送_海外配送_料金_変動下限値,配送_海外配送_取扱可能品目_スーツケースフラグ,配送_海外配送_取扱可能品目_クール品フラグ,配送_海外配送_取扱可能品目_土産品フラグ,配送_海外配送_取扱可能品目_3辺長合計上限値,配送_海外配送_取扱可能品目_最大重量上限値,配送_海外配送_取扱可能品目_取扱金額上限値,配送_海外配送_取扱可能品目_その他（日本語）,配送_海外配送_取扱可能品目_その他（英語）,配送_海外配送_補償内容_取扱金額上限値,配送_海外配送_補償内容_その他（日本語）,配送_海外配送_補償内容_その他（英語）
0000000001,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820011,12,2114,三里塚字御料牧場１－１成田国際空港第一ターミナルビル北ウイング４Ｆ,"1-1 azagoryobokujyo,sanrizuka, Narita International Airport terminal 1 north wing on the 4th floor",,35.765661,140.385027,01,,,0476352855,,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,６時～最終フライト１時間前まで,From 6:00 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4190,2460,1,2,1,160,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000002,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820011,12,2114,三里塚字御料牧場１－１成田国際空港第一ターミナルビル南ウイング４Ｆ,"1-1 azagoryobokujyo,sanrizuka, Narita International Airport terminal 1 south wing on the 4th floor",,35.763658,140.386347,01,,,0476352855,,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,６時～最終フライト１時間前まで,From 6:00 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4190,2460,1,2,1,160,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000003,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820004,12,2114,古込字古込１－１成田国際空港第２ターミナルビル３Ｆ,"1-1 azafurukome,furukome Narita International Airport terminal 2 on the 3rd floor",,35.774950,140.387122,01,,,0476352855,,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,0600,2000,0,６時～最終フライト１時間前まで,From 6:00 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,1,,4190,2460,1,2,1,160,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000004,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820011,12,2114,三里塚字御料牧場１－１成田国際空港第一ターミナルビル北ウイング１Ｆ,"1-1 azagoryobokujyo,sanrizuka, Narita International Airport terminal 1 north wing on the 1st floor",1,35.765415,140.385078,01,,,0476352855,,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,６時３０分～最終フライト１時間後まで,From 6:30 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,1,,2360,1690,1,2,1,160,30,300000,,,300000,,,1000,1900,東京２３区,"Tokyo,s 23 wards",1,,9200,1690,1,1,1,260,50,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000005,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820011,12,2114,三里塚字御料牧場１－１成田国際空港第一ターミナルビル南ウイング１Ｆ,"1-1 azagoryobokujyo,sanrizuka, Narita International Airport terminal 1 south wing on the 1st floor",,35.764022,140.386217,01,,,0476352855,,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,６時３０分～最終フライト１時間後まで,From 6:30 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,1,,2360,1690,1,2,1,160,30,300000,,,300000,,,1000,1900,東京２３区,"Tokyo,s 23 wards",1,,9200,1690,1,1,1,260,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000006,20180411,1,20150727,20201216,株式会社　ケイティーシー・ロジ,"KTC,Co.Ltd",1740051,13,1199,小豆沢１－２３－１０,1-23-10 Azusawa,空港宅配ＱＬライナー,QL Liner derivery service,2820004,12,2114,古込字古込１－１成田国際空港第２ターミナルビル１Ｆ,"1-1 azafurukome,furukome Narita International Airport terminal 2 on the 1st floor",,35.772236,140.388544,01,,,0476352855,,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,0630,2200,0,６時３０分～最終フライト１時間後まで,From 6:30 to 1 hour after the last flight,1,0,0,0,0,,,,,1,,820,310,1,2,1,260,30,300000,,,300000,,,1,,2360,1690,1,2,1,160,30,300000,,,300000,,,1000,1900,東京２３区,"Tokyo,s 23 wards",1,,9200,1690,1,1,1,260,30,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000007,20180425,0,20150727,,石川県観光連盟,Ishikawa Prefecture Tourism League,9208580,17,2014,鞍月１－１,1-1 Kuratsuki,金沢駅観光案内所内手ぶら観光窓口,Kanazawa Tourist Information Center,9200858,17,2014,木ノ新保町１－１,1-1 Kinoshinbocho,,36.578595,136.648647,02,,,0762326200,,0830,1500,0,0830,1500,0,0830,1500,0,0830,1500,0,0830,1500,0,0830,1500,0,0830,1500,0,,,1,0,0,0,0,,,1,3,0,,,,,,,,,,,,,,,1,,1200,700,1,2,1,,,300000,福井県あわら市へ配送する場合、受付時間は８時半から１２時まで,,300000,,,1500,2000,石川県全域、福井県あわら市,"All of Ishikawa Prefecture and Awara, Fukui Prefecture",1,,2470,807,1,2,1,,,300000,,,300000,ヤマト運輸　宅急便約款に準ずる,As according to TA-Q-BIN terms and conditions,1,,,0,,,,,,,,,,,,,,
0000000008,20200522,1,20150726,20200522,株式会社三越伊勢丹ホールディングス,IsetanMitsukoshi Holdings Ltd.,1600022,13,1041,新宿５－１６－１０,5-16-10 shinjuku,伊勢丹新宿店,Isetan Shinjuku Store,1600022,13,1041,新宿３－１４－１,3-14-1 shinjuku,,35.691637,139.704616,06,,,0333521111,,1030,1600,0,1030,1600,0,1030,1600,0,1030,1600,0,1030,1600,0,1030,1500,0,1030,1500,0,,,1,1,1,1,0,,,,,0,,,,,,,,,,,,,,,1,,3550,2160,1,,1,220,45,300000,,,300000,,,1500,0700,成田空港、羽田空港,"Narita Airport,Haneda Airport",0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000009,20200522,1,20150726,20200522,株式会社三越伊勢丹ホールディングス,IsetanMitsukoshi Holdings Ltd.,1600022,13,1041,新宿５－１６－１０,5-16-10 shinjuku,日本橋三越本店,Nihombashi Mitsukoshi Main Store,1038001,13,1024,日本橋室町１－４－１,1-4-1 Nihombashimuromachi,,35.685600,139.773416,06,,,0332413311,,1030,1600,0,1030,1600,0,1030,1600,0,1030,1600,0,1030,1600,0,1030,1500,0,1030,1500,0,,,1,1,1,1,0,,,,,0,,,,,,,,,,,,,,,1,,3550,2160,1,,1,220,45,300000,,,300000,,,1500,0700,成田空港、羽田空港,"Narita Airport,Haneda Airport",0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000010,20200522,1,20150726,20200522,株式会社三越伊勢丹ホールディングス,IsetanMitsukoshi Holdings Ltd.,1600022,13,1041,新宿５－１６－１０,5-16-10 shinjuku,銀座三越,Ginza Mitsukoshi,1048212,13,1024,銀座４－６－１６,4-6-16 Ginza,,35.671322,139.765836,06,,,0335621111,,1030,1500,0,1030,1500,0,1030,1500,0,1030,1500,0,1030,1500,0,1030,1500,0,1030,1500,0,,,1,1,1,1,0,,,,,0,,,,,,,,,,,,,,,1,,3550,2160,1,,1,220,45,300000,,,300000,,,1500,0700,成田空港、羽田空港,"Narita Airport,Haneda Airport",0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
