営業種別,名称,所在地,電話番号,部屋数,定員,緯度,経度
旅館・ホテル,ホテル大名,あわら市二面5ｰ2,0776-77-2174,23,164,36.23336,136.199166
旅館・ホテル,ホテルアイネ,あわら市二面2ｰ50,0776-78-7035,13,46,36.234874,136.20096
旅館・ホテル,夢屋華築紫,あわら市二面2ｰ18ｰ19,0776-77-3800,15,176,36.230713,136.196436
旅館・ホテル,湯快リゾート青雲閣,あわら市二面68ｰ1,0776-77-2530,86,866,36.232199,136.196202
旅館・ホテル,長谷川,あわら市二面48ｰ14,0776-77-2164,38,333,36.229602,136.194194
旅館・ホテル,キャンブレトマロッサ,あわら市二面3ｰ11,0776-78-5069,16,72,36.234146,136.200135
旅館・ホテル,大江戸温泉物語あわら,あわら市二面48ｰ10,0776-77-1726,95,809,36.230247,136.194603
旅館・ホテル,べにや,あわら市温泉4丁目510,0776-77-2333,27,193,36.22522,136.1928
旅館・ホテル,あわらグランドホテル,あわら市温泉4丁目2,0776-78-5500,44,316,36.224864,136.194384
旅館・ホテル,清風荘,あわら市温泉3丁目803,0776-77-2500,177,1192,36.22342,136.191073
旅館・ホテル,白和荘,あわら市温泉5丁目1201,0776-78-7000,19,97,36.228033,136.191956
旅館・ホテル,灰屋,あわら市温泉2丁目205,0776-78-5555,63,574,36.225758,136.19502
旅館・ホテル,あわらの宿八木,あわら市温泉4丁目418,0776-77-2008,74,673,36.225875,136.192511
旅館・ホテル,龍泉,あわら市温泉3丁目402,0776-77-2065,5,17,36.223422,136.192225
旅館・ホテル,つるや,あわら市温泉4丁目601,0776-77-2001,37,392,36.224878,136.192673
旅館・ホテル,ホテル天隆,あわら市温泉5丁目1525,0776-78-5333,10,48,36.228269,136.193228
旅館・ホテル,花の宿福寿,あわら市温泉4丁目801,0776-77-2280,19,147,36.225122,136.192006
旅館・ホテル,湯元の宿芦原荘,あわら市温泉1丁目309,0776-77-2110,18,133,36.224525,136.19302
旅館・ホテル,みのや泰平閣,あわら市舟津50ｰ1ｰ1,0776-78-5566,67,593,36.223586,136.18814
旅館・ホテル,芦原国際ホテル美松,あわら市舟津26ｰ10,0776-77-2600,88,550,36.227222,136.186506
旅館・ホテル,グランディア芳泉,あわら市舟津43ｰ26,0776-77-2555,116,1694,36.2221,136.188117
旅館・ホテル,まつや千千,あわら市舟津31ｰ24,0776-77-2560,116,1412,36.223689,136.187615
旅館・ホテル,㈱ホテルゆらく,あわら市舟津2ｰ15,0776-77-7700,31,267,36.226725,136.18985
旅館・ホテル,愛犬と過ごす本格旅館月香,あわら市舟津第9号8番地,0776-97-8521,25,352,36.23073,136.193919
旅館・ホテル,福井県市町村職員共済組合芦原保養所越路,あわら市東温泉2丁目201,0776-77-3151,30,265,36.220148,136.200819
旅館・ホテル,株式会社ホテルぐらばあ亭,あわら市田中々8ｰ1,0776-77-7333,46,341,36.218556,136.19267
