id,name,kana,area,category,lat,lng,zoom,url,description,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,電話番号,住所,アクセス,営業時間,定休日,料金,決済方法,駐車場,駐車場：大型バスの駐車,ウェブサイト,駐車場：台数,関連資料,駐車場：備考,備考,オンライン予約,メールアドレス
1001,朝倉義景墓所,あさくらよしかげぼしょ,"永平寺・奥越,大野市",歴史・文化・史跡,35.979014,136.486359,16,https://www.fuku-e.com/spot/detail_1001.html,義景公園内にあり、あたりは桜の名所としても有名です。室町から戦乱の世にかけ、5代103年間にわたり栄華を極めた朝倉氏。越前の守護大名だった義景は、織田信長との戦いに敗れ、支族の朝倉景鏡の反逆にあい、六坊賢松寺で自害しました。,https://www.fuku-e.com/lsc/upfile/spot/0000/1001/1001_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1001/1001_3_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1001/1001_4_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1001/1001_5_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1001/1001_2_l.jpg,,,,,,大野市観光交流課 0779-66-1111,福井県大野市泉町,JR越前大野駅から徒歩20分/北陸自動車道福井ICから車で40分,,,,,,,,,,,,,
1002,一乗谷朝倉氏遺跡,いちじょうだにあさくらしいせき,"あわら・坂井・福井市,福井市","歴史・文化・史跡,城,ガイド,レンタサイクル",35.999493,136.295559,16,https://www.fuku-e.com/spot/detail_1002.html,福井市の南東約10キロ、一乗谷にある一乗谷朝倉氏遺跡は、戦国時代に朝倉氏五代が約100年間にわたって越前の国を支配した城下町跡。武家屋敷・寺院・町屋・職人屋敷や道路に至るまで町並がほぼ完全な姿で発掘され、遺跡は、国の特別史跡・特別名勝、出土品は…,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_7_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_10_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_5_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_4_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_9_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_6_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_8_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_3_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1002/1002_2_l.jpg,0776-41-2330（朝倉氏遺跡保存協会）,福井県福井市城戸ﾉ内町,"・福井駅東口から朝倉・永平寺ダイレクトバス「復原町並」下車すぐ
・JR福井駅から越美北線「一乗谷駅」下車、徒歩15分（周遊バス唐門号もご活用ください）
・北陸自動車道福井ICから車で10分",一乗谷朝倉氏遺跡/見学自由、復原町並/9～17時(入館は16:30まで),"・年末年始
・2024年10月19日（土）※全国育樹祭の開催のため","復原町並  /  一般330円(団体260円)、70歳以上100円(団体80円)、小・中学生100円(団体80円)
※団体は20人以上
※障害者手帳をお持ちの方は無料",現金,あり,可,"https://www.fuku-e.com/feature/detail_191.html,https://happybus.jp/course/?word=%E3%81%AF%E3%81%B4%E3%83%90%E3%82%B9%E5%AE%9A%E6%9C%9F,https://ichijo-dani.com/",,,,,,
1003,戌山城址,いぬやまじょうし,"永平寺・奥越,大野市","歴史・文化・史跡,城",35.98370151875422,136.47279024124146,16,https://www.fuku-e.com/spot/detail_1003.html,南北朝～戦国時代の斯波氏・朝倉氏などの居城で、福井県内有数の規模を誇る堀切や竪堀、郭などが見られる山城です。,https://www.fuku-e.com/lsc/upfile/spot/0000/1003/1003_1_l.jpg,,,,,,,,,,生涯学習・文化財課　0779-65-5520,福井県大野市犬山,北陸自動車道福井ICから車で30分,,,,,,,,,,,,,
1004,越前大野城　,えちぜんおおのじょう,"永平寺・奥越,大野市","自然・公園,桜,紅葉,歴史・文化・史跡,城",35.986572,136.4830992,16,https://www.fuku-e.com/spot/detail_1004.html,織田信長のエリート家臣団「赤母衣衆(あかほろしゅう)」の一人、金森長近が築城した越前大野城。天正4年から4年の歳月を要し完成した当時は、2層3階建ての大天守、2層2階の小天守、二の丸、三の丸があり、外堀・内堀をめぐらし、城を守っていました。石垣は…,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_8_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_6_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_3_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_2_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_5_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_10_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_9_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_7_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_4_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1004/1004_1_l.jpg,"大野市観光交流課 0779-66-1111
",福井県大野市城町3-109,JR越前大野駅から登り口まで徒歩20分/中部縦貫自動車道大野ICから登り口まで車で約10分,"4月～9月　9:00～17:00
10月～11月　9:00～16:00",冬期(12月～3月),"大人:400円、団体(30名以上)200円、障がい者:200円、年間パスポート：1,000円、中学生以下:無料",,,,"http://www.onocastle.net/,https://www.fuku-e.com/fukutabi/detail_678.html,https://www.fuku-e.com/fukutabi/detail_13.html",,,,,,
1005,王山古墳群,おうざんこふんぐん,"丹南,鯖江市",歴史・文化・史跡,35.9398274,136.1851269,16,https://www.fuku-e.com/spot/detail_1005.html,鯖江台地の南端にある丘陵に方墳・円墳が約50基残っています。弥生時代中期～古墳時代後期のものと推定され、現在は古墳公園として整備されています。,https://www.fuku-e.com/lsc/upfile/spot/0000/1005/1005_1_l.jpg,,,,,,,,,,0778-51-5999（鯖江市文化課・まなべの館）,福井県鯖江市日の出町,福井鉄道サンドーム西駅から徒歩約10分/ハピライン鯖江駅から徒歩約10分/北陸自動車道鯖江ICから車で約10分,終日,散策自由,無料,,あり,,https://www.city.sabae.fukui.jp/kosodate_kyoiku/manabenoyakata/bunkazai/sabae_bunkazai/shiseki/ouzankofun-national.html,15,,,,,
1006,金ヶ崎城跡,かねがさきじょうせき,"若狭路,敦賀市","歴史・文化・史跡,城",35.666018,136.074058,16,https://www.fuku-e.com/spot/detail_1006.html,敦賀湾を一望する小高い山にある金ヶ崎城跡。様々な時代の逸話がありますが、 平安時代末期、治承・寿永の乱(源平合戦)の時代に、平通盛が北陸で勢力を持つ木曾義仲に対抗するため城を築いたのが最初と言われています。南北朝時代の延元元年(1336年)、恒良、…,https://www.fuku-e.com/lsc/upfile/spot/0000/1006/1006_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1006/1006_2_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1006/1006_3_l.jpg,,,,,,,,"金崎宮社務所
0770-22-0938
敦賀観光案内所
0770-21-8686
(一社)敦賀観光協会
0770-22-8167",福井県敦賀市金ｹ崎町1-4,JR敦賀駅からコミュニティバス「松原線」で「金崎宮口」下車/ぐるっと敦賀周遊バスで「金崎宮」下車/北陸自動車道敦賀ICから車で約10分,,,,,,,http://kanegasakigu.jp/,,,,,,
1007,兜山古墳,かぶとやまこふん,"丹南,鯖江市",歴史・文化・史跡,35.974432,136.183388,16,https://www.fuku-e.com/spot/detail_1007.html,鯖江台地上にあり、周囲に濠を巡らした高さ約8m、二段築城の円墳で北陸地方最大級。国の指定史跡に指定されています。,https://www.fuku-e.com/lsc/upfile/spot/0000/1007/1007_1_l.jpg,,,,,,,,,,鯖江市文化課・まなべの館 0778-51-5999,福井県鯖江市神明町2丁目,福井鉄道神明駅から徒歩約5分/北陸自動車道鯖江ICから車で約10分,終日,散策自由,無料,,あり,,https://www.city.sabae.fukui.jp/kosodate_kyoiku/manabenoyakata/bunkazai/sabae_bunkazai/shiseki/kabutoyama-national.html,5,,,,,
1008,旧瓜生家住宅,きゅううりゅうけじゅうたく,"丹南,鯖江市",歴史・文化・史跡,35.969092,136.18302,16,https://www.fuku-e.com/spot/detail_1008.html,元禄12年(1699)頃に建てられた旧瓜生家住宅は県内に現存する最古級の民家です。股柱を利用した独特の梁組みや下部を太く削り出した柱に特徴があります。薪がくべられたいろりの傍に座ると、神明社の静謐な雰囲気とともに当時の生活に想いを馳せることができ…,https://www.fuku-e.com/lsc/upfile/spot/0000/1008/1008_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1008/1008_2_l.jpg,,,,,,,,,鯖江市文化課・まなべの館 0778-51-5999,福井県鯖江市水落町4-7,福井鉄道神明駅から徒歩約2分/北陸自動車道鯖江ICから車で約10分,月・水・土・日の10:00～16:00,火・木・金,無料,,あり,,https://www.city.sabae.fukui.jp/kosodate_kyoiku/manabenoyakata/bunkazai/sabae_bunkazai/kenzoubutu/shiteibunkazai/kyuuuryuuje-nat,15,,,,,
1009,小丸城跡,こまるじょうあと,"丹南,越前市","歴史・文化・史跡,城",35.897908,136.230236,16,https://www.fuku-e.com/spot/detail_1009.html,織田信長の家臣で府中三人衆のひとり、佐々成政が天正3年(1575)に築いた平城の跡で県指定史跡。当時は内堀と外堀がつくられ、城の全域は東西300m、南北350mにおよんだといいますが、今は本丸跡と土塁や堀の一部が残るだけです。この周辺は白鳳時代に大寺院が…,https://www.fuku-e.com/lsc/upfile/spot/0000/1009/1009_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1009/1009_2_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1009/1009_3_l.jpg,,,,,,,,0778-22-7434（越前市観光交流推進課）,福井県越前市五分市町,ハピラインふくい武生駅から車で15分/北陸自動車道武生ICから車で5分,,,,,,,,,,,,,
1010,神明ケ谷須恵器窯跡,しんめいがたにすえきかまあと,"丹南,越前町","伝統工芸,歴史・文化・史跡",35.925078,136.061172,16,https://www.fuku-e.com/spot/detail_1010.html,この須恵器窯跡は、平安時代後期のものでほぼ原形をとどめている非常に貴重な窯跡です。(県指定文化財),https://www.fuku-e.com/lsc/upfile/spot/0000/1010/1010_1_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1010/1010_2_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1010/1010_3_l.jpg,https://www.fuku-e.com/lsc/upfile/spot/0000/1010/1010_4_l.jpg,,,,,,,越前町観光連盟 0778-37-1234,福井県越前町小曽原6-12,ハピラインふくい武生駅からかれい崎行き福鉄バスで30分、「陶芸村口」下車後、徒歩10分/北陸自動車道武生または鯖江ICから車で30分,,,,,,,https://www.town-echizen.jp/spot/spot01Detail.php?id=446,,,,,,
